"Table B6. Number of Active DO Residents, by Race/Ethnicity (Alone or In Combination) and GME Specialty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22 Active Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The table below displays the number and percentage of 2021-22 active DO residents by race/ethnicity (alone or in combination) and specialty. ""Alone or in combination"" indicates those who selected a race/ethnicity category alone or in combination with another race/ethnicity response. The sum of the race/ethnicity categories may not add to the total number of residents since a resident could designate multiple race/ethnicity categories. For example, in 2021-22, two active DO residents who identified as American Indian or Alaska Native alone or in combination with any other race/ethnicity response were training in Anesthesiology. Race/ethnicity data are only shown for U.S. citizens or permanent residents. The ""Non-U.S. Citizen or Non-Permanent Resident"" category may include residents with unknown citizenship. Data are for graduates of DO-granting U.S. schools. Counts and percentages shown for specialties do not include counts and percentages for the related subspecialties. Please contact residentreport@aamc.org with any comments or questions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected Finding: The distribution of active DO residents by race/ethnicity varies across specialties. Overall, 64.4% of active U.S. citizen DO residents in 2021-22 reported White, 21.5% reported Asian, 5.1% reported Hispanic, 2.8% reported Black or African American, 0.6% reported American Indian or Alaska Native, and 0.2% reported Native Hawaiian or Other Pacific Islander. Additionally, 8.5% of active DO residents were non-U.S. citizens in 2021-22.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGME-Accredited Specialties and Subspecialties,,Active Residents who are Graduates of DO-granting U.S. Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American Indian or Alaska Native,,Asian,,Black or African American,,"Hispanic, Latino, or of Spanish Origin",,Native Hawaiian or Other Pacific Islander,,White,,"Other 
Race/Ethnicity",,Unknown Race/Ethnicity,,Non-U.S. Citizen or Non-Permanent Resident,,Unduplicated Total,,,,,,,,,,,,,,,
,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,,,,,,,,,,,,,,,,
Aerospace Medicine,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
Allergy and Immunology,,0,0.0,13,41.9,1,3.2,1,3.2,0,0.0,15,48.4,0,0.0,0,0.0,2,6.5,31,,,,,,,,,,,,,,,
Anesthesiology,,2,0.2,252,20.5,20,1.6,41,3.3,2,0.2,828,67.5,49,4.0,2,0.2,99,8.1,"1,227",,,,,,,,,,,,,,,
,Adult Cardiothoracic Anesthesiology (Anesthesiology),0,0.0,4,18.2,0,0.0,1,4.5,0,0.0,16,72.7,0,0.0,0,0.0,1,4.5,22,,,,,,,,,,,,,,,
,Critical Care Medicine (Anesthesiology),0,0.0,6,33.3,0,0.0,1,5.6,1,5.6,12,66.7,2,11.1,0,0.0,0,0.0,18,,,,,,,,,,,,,,,
,Obstetric Anesthesiology (Anesthesiology),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Pediatric Anesthesiology (Anesthesiology),0,0.0,6,27.3,0,0.0,1,4.5,0,0.0,16,72.7,0,0.0,0,0.0,0,0.0,22,,,,,,,,,,,,,,,
,Regional Anesthesiology and Acute Pain Medicine (Anesthesiology),0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,3,50.0,0,0.0,0,0.0,1,16.7,6,,,,,,,,,,,,,,,
Child Neurology,,0,0.0,10,22.2,1,2.2,4,8.9,0,0.0,28,62.2,0,0.0,0,0.0,5,11.1,45,,,,,,,,,,,,,,,
Colon and Rectal Surgery,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,100.0,0,0.0,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
Dermatology,,0,0.0,21,14.0,5,3.3,6,4.0,0,0.0,107,71.3,13,8.7,0,0.0,13,8.7,150,,,,,,,,,,,,,,,
,Dermatopathology (Dermatology and Pathology),0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,5,83.3,0,0.0,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
,Procedural Dermatology (Dermatology),0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,5,,,,,,,,,,,,,,,
Emergency Medicine,,17,0.7,339,14.6,55,2.4,127,5.5,4,0.2,"1,699",73.3,78,3.4,4,0.2,161,6.9,"2,318",,,,,,,,,,,,,,,
,Emergency Medical Services (Emergency Medicine),0,0.0,3,18.8,1,6.3,0,0.0,0,0.0,12,75.0,1,6.3,0,0.0,0,0.0,16,,,,,,,,,,,,,,,
,Medical Toxicology (Emergency Medicine),1,7.7,1,7.7,0,0.0,0,0.0,0,0.0,11,84.6,1,7.7,0,0.0,0,0.0,13,,,,,,,,,,,,,,,
,Pediatric Emergency Medicine (Emergency Medicine),0,0.0,8,32.0,0,0.0,2,8.0,0,0.0,13,52.0,2,8.0,0,0.0,2,8.0,25,,,,,,,,,,,,,,,
,Sports Medicine (Emergency Medicine),0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,4,80.0,0,0.0,0,0.0,0,0.0,5,,,,,,,,,,,,,,,
,Undersea and Hyperbaric Medicine (Emergency Medicine),0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
Family Medicine,,39,0.8,"1,022",21.6,165,3.5,256,5.4,16,0.3,"3,002",63.5,144,3.0,7,0.1,416,8.8,"4,727",,,,,,,,,,,,,,,
,Geriatric Medicine (Family Medicine),0,0.0,2,13.3,0,0.0,0,0.0,0,0.0,11,73.3,1,6.7,0,0.0,3,20.0,15,,,,,,,,,,,,,,,
,Hospice and Palliative Care Medicine (Family Medicine),0,0.0,16,26.7,3,5.0,3,5.0,0,0.0,36,60.0,2,3.3,0,0.0,6,10.0,60,,,,,,,,,,,,,,,
,Sports Medicine (Family Medicine),0,0.0,21,21.6,6,6.2,6,6.2,0,0.0,66,68.0,1,1.0,1,1.0,4,4.1,97,,,,,,,,,,,,,,,
Internal Medicine,,22,0.4,"1,404",28.1,138,2.8,266,5.3,6,0.1,"2,651",53.1,172,3.4,7,0.1,653,13.1,"4,994",,,,,,,,,,,,,,,
,Adult Congenital Heart Disease (Internal Medicine),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Advanced Heart Failure and Transplant Cardiology (Internal Medicine),0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,2,33.3,1,16.7,0,0.0,0,0.0,6,,,,,,,,,,,,,,,
,Cardiovascular Disease (Internal Medicine),2,0.6,78,23.0,11,3.2,10,2.9,0,0.0,210,61.9,21,6.2,0,0.0,25,7.4,339,,,,,,,,,,,,,,,
,Clinical Cardiac Electrophysiology (Internal Medicine),0,0.0,5,20.0,0,0.0,3,12.0,0,0.0,14,56.0,2,8.0,0,0.0,4,16.0,25,,,,,,,,,,,,,,,
,Clinical Informatics (Internal Medicine),0,0.0,3,75.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,4,,,,,,,,,,,,,,,
,Critical Care Medicine (Internal Medicine),1,1.4,13,18.3,2,2.8,7,9.9,0,0.0,45,63.4,3,4.2,0,0.0,6,8.5,71,,,,,,,,,,,,,,,
,"Endocrinology, Diabetes, and Metabolism (Internal Medicine)",0,0.0,22,33.8,0,0.0,2,3.1,0,0.0,37,56.9,3,4.6,0,0.0,7,10.8,65,,,,,,,,,,,,,,,
,Gastroenterology (Internal Medicine),0,0.0,59,29.1,6,3.0,9,4.4,0,0.0,115,56.7,10,4.9,0,0.0,21,10.3,203,,,,,,,,,,,,,,,
,Geriatric Medicine (Internal Medicine),1,4.3,8,34.8,0,0.0,1,4.3,0,0.0,13,56.5,0,0.0,0,0.0,2,8.7,23,,,,,,,,,,,,,,,
,Hematology and Oncology (Internal Medicine),0,0.0,31,20.7,4,2.7,8,5.3,0,0.0,101,67.3,3,2.0,0,0.0,10,6.7,150,,,,,,,,,,,,,,,
,Infectious Disease (Internal Medicine),0,0.0,28,31.1,2,2.2,4,4.4,0,0.0,56,62.2,3,3.3,0,0.0,3,3.3,90,,,,,,,,,,,,,,,
,Interventional Cardiology (Internal Medicine),0,0.0,4,15.4,2,7.7,1,3.8,0,0.0,19,73.1,1,3.8,0,0.0,0,0.0,26,,,,,,,,,,,,,,,
,Nephrology (Internal Medicine),0,0.0,36,34.3,1,1.0,6,5.7,0,0.0,57,54.3,3,2.9,0,0.0,6,5.7,105,,,,,,,,,,,,,,,
,Oncology (Internal Medicine),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,2,66.7,3,,,,,,,,,,,,,,,
,Pulmonary Disease (Internal Medicine),0,0.0,3,27.3,0,0.0,2,18.2,0,0.0,3,27.3,2,18.2,0,0.0,2,18.2,11,,,,,,,,,,,,,,,
,Pulmonary Disease and Critical Care Medicine (Internal Medicine),1,0.4,72,25.3,4,1.4,17,6.0,1,0.4,184,64.6,6,2.1,2,0.7,12,4.2,285,,,,,,,,,,,,,,,
,Rheumatology (Internal Medicine),0,0.0,25,26.9,1,1.1,3,3.2,1,1.1,55,59.1,3,3.2,0,0.0,9,9.7,93,,,,,,,,,,,,,,,
,Sleep Medicine (Internal Medicine),0,0.0,10,38.5,0,0.0,0,0.0,0,0.0,15,57.7,1,3.8,0,0.0,1,3.8,26,,,,,,,,,,,,,,,
,Transplant Hepatology (Internal Medicine),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,2,,,,,,,,,,,,,,,
Medical Genetics and Genomics,,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,3,,,,,,,,,,,,,,,
,Medical Biochemical Genetics (Medical Genetics and Genomics),0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,2,,,,,,,,,,,,,,,
,Molecular Genetic Pathology (Medical Genetics and Genomics),0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,1,,,,,,,,,,,,,,,
Neurological Surgery,,0,0.0,11,19.6,0,0.0,3,5.4,0,0.0,38,67.9,3,5.4,0,0.0,6,10.7,56,,,,,,,,,,,,,,,
Neurology,,3,0.7,106,23.6,12,2.7,19,4.2,2,0.4,265,59.0,22,4.9,1,0.2,46,10.2,449,,,,,,,,,,,,,,,
,Brain Injury Medicine (Neurology),0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,,,,,,,,,,,,,,,
,Clinical Neurophysiology (Neurology),0,0.0,4,25.0,0,0.0,0,0.0,0,0.0,11,68.8,2,12.5,0,0.0,0,0.0,16,,,,,,,,,,,,,,,
,Epilepsy (Neurology),0,0.0,2,16.7,0,0.0,2,16.7,0,0.0,9,75.0,0,0.0,0,0.0,0,0.0,12,,,,,,,,,,,,,,,
